Applicance,Wattage(min),Wattage(max),Min units consumption in an hour (kWh),Max units consumption in an hour (kWh),Average unit consumption in an hour (kWh),Auckland (avg cost per kWh),Wellington (avg cost per kWh),Christchurch (avg cost per kWh),Dunedin (avg cost per kWh)
1 Ton Air Conditioner,800W,1000W,0.8,1,0.9,0.1773,0.18612,0.2394,0.21042
1 Ton Inverter Air Conditoner,500W,1000W,0.5,1,0.75,0.14775,0.1551,0.1995,0.17535
1.5 Ton Air Conditioner,1000W,1500W,1,1.5,1.25,0.24625,0.2585,0.3325,0.29225
1.5 Ton Inverter Air Conditioner,800W,1500W,0.8,1.5,1.15,0.22655,0.23782,0.3059,0.26887
2 Ton Air Conditioner,1300W,2000W,1.3,2,1.65,0.32505,0.34122,0.4389,0.38577
2 Ton Inverter Air Conditioner,1000W,2000W,1,2,1.5,0.2955,0.3102,0.399,0.3507
24 Inch LCD TV,40W,60W,0.04,0.06,0.05,0.00985,0.01034,0.0133,0.01169
24 Inch LED TV,30W,50W,0.03,0.05,0.04,0.00788,0.008272,0.01064,0.009352
32 Inch LCD TV,60W,80W,0.06,0.08,0.07,0.01379,0.014476,0.01862,0.016366
32 Inch LED TV,30W,60W,0.03,0.06,0.045,0.008865,0.009306,0.01197,0.010521
37 Inch LCD TV,70W,90W,0.07,0.09,0.08,0.01576,0.016544,0.02128,0.018704
37 Inch LED TV,60W,70W,0.06,0.07,0.065,0.012805,0.013442,0.01729,0.015197
42 Inch LCD TV,110W,130W,0.11,0.13,0.12,0.02364,0.024816,0.03192,0.028056
42 Inch LED TV,70W,90W,0.07,0.09,0.08,0.01576,0.016544,0.02128,0.018704
50 Inch LCD TV,140W,170W,0.14,0.17,0.155,0.030535,0.032054,0.04123,0.036239
50 Inch LED TV,90W,110W,0.09,0.11,0.1,0.0197,0.02068,0.0266,0.02338
65 Inch LED TV,120W,130W,0.12,0.13,0.125,0.024625,0.02585,0.03325,0.029225
82 Inch LED TV,228W,295W,0.228,0.295,0.2615,0.0515155,0.0540782,0.069559,0.0611387
"9"" disc sander",1200W,1200W,1.2,1.2,1.2,0.2364,0.24816,0.3192,0.28056
Air Fryer,1500W,1500W,1.5,1.5,1.5,0.2955,0.3102,0.399,0.3507
Air Purifier,25W,30W,0.025,0.03,0.0275,0.0054175,0.005687,0.007315,0.0064295
Amazon Echo,3W,3W,0.003,0.003,0.003,0.000591,0.0006204,0.000798,0.0007014
Amazon Echo Show,2W,4W,0.002,0.004,0.003,0.000591,0.0006204,0.000798,0.0007014
American-style Fridge Freezer,40W,80W,0.04,0.08,0.06,0.01182,0.012408,0.01596,0.014028
Bathroom Towel Heater,60W,150W,0.06,0.15,0.105,0.020685,0.021714,0.02793,0.024549
Bread Toaster (2 Slice),700W,1000W,0.7,1,0.85,0.16745,0.17578,0.2261,0.19873
Bread Toaster (4 Slice),1200W,2500W,1.2,2.5,1.85,0.36445,0.38258,0.4921,0.43253
Ceiling Fan (48 Inch),60W,80W,0.06,0.08,0.07,0.01379,0.014476,0.01862,0.016366
Clock radio,1W,2W,0.001,0.002,0.0015,0.0002955,0.0003102,0.000399,0.0003507
Clothes Dryer,2000W,5000W,2,5,3.5,0.6895,0.7238,0.931,0.8183
Coffee Maker,800W,1400W,0.8,1.4,1.1,0.2167,0.22748,0.2926,0.25718
Computer Monitor,25W,30W,0.025,0.03,0.0275,0.0054175,0.005687,0.007315,0.0064295
Corded Drill,600W,850W,0.6,0.85,0.725,0.142825,0.14993,0.19285,0.169505
Corded Electric Handheld Leaf Blower,2500W,2500W,2.5,2.5,2.5,0.4925,0.517,0.665,0.5845
Curling Iron,25W,35W,0.025,0.035,0.03,0.00591,0.006204,0.00798,0.007014
Deep Freezer,19W,19W,0.019,0.019,0.019,0.003743,0.0039292,0.005054,0.0044422
Dehumidifier,240W,240W,0.24,0.24,0.24,0.04728,0.049632,0.06384,0.056112
Desktop Computer,100W,450W,0.1,0.45,0.275,0.054175,0.05687,0.07315,0.064295
Dishwasher,1200W,1500W,1.2,1.5,1.35,0.26595,0.27918,0.3591,0.31563
Domestic Water Pump,200W,1500W,0.2,1.5,0.85,0.16745,0.17578,0.2261,0.19873
DVD Player,26W,60W,0.026,0.06,0.043,0.008471,0.0088924,0.011438,0.0100534
Electric Blanket,200W,200W,0.2,0.2,0.2,0.0394,0.04136,0.0532,0.04676
Electric Doorbell Transformer,2W,2W,0.002,0.002,0.002,0.000394,0.0004136,0.000532,0.0004676
Electric Heater Fan,2000W,3000W,2,3,2.5,0.4925,0.517,0.665,0.5845
Electric Iron,800W,1500W,0.8,1.5,1.15,0.22655,0.23782,0.3059,0.26887
Electric Kettle,1200W,3000W,1.2,3,2.1,0.4137,0.43428,0.5586,0.49098
Electric Mower,1500W,1500W,1.5,1.5,1.5,0.2955,0.3102,0.399,0.3507
Electric Shaver,15W,20W,0.015,0.02,0.0175,0.0034475,0.003619,0.004655,0.0040915
Electric stove,2000W,2000W,2,2,2,0.394,0.4136,0.532,0.4676
Espresso Coffee Machine,1300W,1500W,1.3,1.5,1.4,0.2758,0.28952,0.3724,0.32732
Extractor / Exhaust Fan,12W,12W,0.012,0.012,0.012,0.002364,0.0024816,0.003192,0.0028056
Food Blender,300W,400W,0.3,0.4,0.35,0.06895,0.07238,0.0931,0.08183
Food Dehydrator,800W,800W,0.8,0.8,0.8,0.1576,0.16544,0.2128,0.18704
Freezer,30W,50W,0.03,0.05,0.04,0.00788,0.008272,0.01064,0.009352
Fridge / Freezer,150W,400W,0.15,0.4,0.275,0.054175,0.05687,0.07315,0.064295
Front Load Washing Machine,500W,2200W,0.5,2.2,1.35,0.26595,0.27918,0.3591,0.31563
Fryer,1000W,1000W,1,1,1,0.197,0.2068,0.266,0.2338
Game Console,120W,170W,0.12,0.17,0.145,0.028565,0.029986,0.03857,0.033901
Gaming PC,300W,600W,0.3,0.6,0.45,0.08865,0.09306,0.1197,0.10521
Garage Door Opener,300W,400W,0.03,0.04,0.035,0.006895,0.007238,0.00931,0.008183
Guitar Amplifier,20W,30W,0.02,0.03,0.025,0.004925,0.00517,0.00665,0.005845
Hair Blow Dryer,1000W,3000W,1,3,2,0.394,0.4136,0.532,0.4676
Hair Straightening Iron,75W,300W,0.075,0.03,0.0525,0.0103425,0.010857,0.013965,0.0122745
Hand Wash Oversink Water Heater,3000W,3000W,3,3,3,0.591,0.6204,0.798,0.7014
Heated Bathroom Mirror,50W,100W,0.05,0.01,0.03,0.00591,0.006204,0.00798,0.007014
Home Internet Router,5W,15W,0.005,0.015,0.01,0.00197,0.002068,0.00266,0.002338
Home Phone,3W,5W,0.003,0.005,0.004,0.000788,0.0008272,0.001064,0.0009352
Home Sound System,95W,95W,0.095,0.095,0.095,0.018715,0.019646,0.02527,0.022211
Hot Water Dispenser,1200W,1300W,1.2,1.3,1.25,0.24625,0.2585,0.3325,0.29225
Humidifier,35W,40W,0.035,0.04,0.0375,0.0073875,0.007755,0.009975,0.0087675
Induction Cooktop,1400W,2000W,1.4,2,1.7,0.3349,0.35156,0.4522,0.39746
Inkjet Printer,20W,30W,0.02,0.03,0.025,0.004925,0.00517,0.00665,0.005845
Iron,1000W,1000W,1,1,1,0.197,0.2068,0.266,0.2338
Laptop Computer,40W,120W,0.04,0.12,0.08,0.01576,0.016544,0.02128,0.018704
Large Office Printer,600W,2000W,0.6,2,1.3,0.2561,0.26884,0.3458,0.30394
Lawnmower,1000W,1400W,1,1.4,1.2,0.2364,0.24816,0.3192,0.28056
LED Light Bulb,7W,10W,0.007,0.01,0.0085,0.0016745,0.0017578,0.002261,0.0019873
Mi Box,5W,7W,0.005,0.007,0.006,0.001182,0.0012408,0.001596,0.0014028
Microwave,1000W,2500W,1,2.5,1.75,0.34475,0.3619,0.4655,0.40915
Nintendo Switch AC Adapter,7W,40W,0.007,0.04,0.0235,0.0046295,0.0048598,0.006251,0.0054943
Oven,1000W,2150W,1,2.15,1.575,0.310275,0.32571,0.41895,0.368235
Paper Shredder,200W,220W,0.2,0.22,0.21,0.04137,0.043428,0.05586,0.049098
Pedestal Fan,50W,70W,0.05,0.07,0.06,0.01182,0.012408,0.01596,0.014028
Percolator,800W,1100W,0.8,1.1,0.95,0.18715,0.19646,0.2527,0.22211
Philips Hue Smart Bulb,8W,9W,0.008,0.009,0.0085,0.0016745,0.0017578,0.002261,0.0019873
Phone Charger,4W,7W,0.004,0.007,0.0055,0.0010835,0.0011374,0.001463,0.0012859
Playstation 4,85W,150W,0.085,0.15,0.1175,0.0231475,0.024299,0.031255,0.0274715
Power Shower,7500W,10500W,7.5,10.5,9,1.773,1.8612,2.394,2.1042
Projector,220W,270W,0.22,0.27,0.245,0.048265,0.050666,0.06517,0.057281
Refrigerator,100W,200W,0.1,0.2,0.15,0.02955,0.03102,0.0399,0.03507
Scanner,10W,18W,0.01,0.018,0.014,0.002758,0.0028952,0.003724,0.0032732
Set Top Box,27W,30W,0.027,0.03,0.0285,0.0056145,0.0058938,0.007581,0.0066633
Sewing Machine,70W,80W,0.07,0.08,0.075,0.014775,0.01551,0.01995,0.017535
Space Heater,2000W,5000W,2,5,3.5,0.6895,0.7238,0.931,0.8183
Steam Iron,2200W,2500W,2.2,2.5,2.35,0.46295,0.48598,0.6251,0.54943
Table Fan,10W,25W,0.01,0.025,0.0175,0.0034475,0.003619,0.004655,0.0040915
Top Load Washing Machine,500W,2500W,0.5,2.5,1.5,0.2955,0.3102,0.399,0.3507
Treadmill,280W,900W,0.28,0.9,0.59,0.11623,0.122012,0.15694,0.137942
Tube Light,22W,22W,0.022,0.022,0.022,0.004334,0.0045496,0.005852,0.0051436
Vacuum Cleaner,450W,900W,0.45,0.9,0.675,0.132975,0.13959,0.17955,0.157815
Wall Mounted Fan,45W,60W,0.045,0.06,0.0525,0.0103425,0.010857,0.013965,0.0122745
Washing Machine,500W,500W,0.5,0.5,0.5,0.0985,0.1034,0.133,0.1169
Water Filter and Cooler,70W,100W,0.07,0.1,0.085,0.016745,0.017578,0.02261,0.019873
Wine cooler (18 bottles),83W,83W,0.083,0.083,0.083,0.016351,0.0171644,0.022078,0.0194054
Xbox One,50W,110W,0.05,0.11,0.08,0.01576,0.016544,0.02128,0.018704
Zero Bulb,1W,1W,0.001,0.001,0.001,0.000197,0.0002068,0.000266,0.0002338